GMT Time,Ancillary Price - DR-L - GB (£/MW/h),Month,Day,EFA Block,Volume Requirements Forecast - DR-L - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),"Day Ahead Price (EPEX, local) - GB (£/MWh)","Day Ahead Price (N2EX, local) - GB (£/MWh)",National Demand Forecast (NDF) - GB (MW),"Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)"
2023-02-02 15:00:00,20.0,2,4,4,80,72.0,129.175,127.71000000000001,32756.25,121.3125
2023-02-02 19:00:00,10.0,2,4,5,80,70.0,151.35,150.70499999999998,35821.25,145.6125
2023-02-02 23:00:00,8.0,2,4,6,80,59.0,134.5575,130.2125,30296.75,139.0125
2023-02-03 03:00:00,10.0,2,5,1,80,51.0,93.19999999999999,86.925,21603.875,114.1125
2023-02-03 07:00:00,17.35,2,5,2,80,76.0,98.875,98.16499999999999,22123.375,110.025
2023-02-03 11:00:00,10.0,2,5,3,80,80.0,156.2,156.8125,33263.75,154.7625
2023-02-03 15:00:00,35.0,2,5,4,80,68.0,134.35,128.0725,32871.625,142.46875
2023-02-03 19:00:00,17.5,2,5,5,80,59.0,157.9975,152.8875,36214.5,160.3375
2023-02-03 23:00:00,17.23,2,5,6,80,50.0,143.0,143.1675,31804.375,136.14375
2023-02-04 03:00:00,17.24,2,6,1,80,57.0,135.45,134.8425,23649.5,78.44375
2023-02-04 07:00:00,20.0,2,6,2,80,82.0,129.5275,131.1575,21188.125,96.9375
2023-02-04 11:00:00,20.0,2,6,3,80,88.0,146.0,144.7475,28535.625,160.0625
2023-02-04 15:00:00,26.49,2,6,4,80,21.0,135.4625,129.64499999999998,29548.625,127.025
2023-02-04 19:00:00,16.3,2,6,5,80,80.0,153.5375,155.28,33462.75,153.9125
2023-02-04 23:00:00,6.0,2,6,6,80,50.0,137.0,136.32,29938.375,145.625
2023-02-05 03:00:00,6.0,2,7,1,80,45.0,130.975,137.27,22894.0,151.63125
2023-02-05 07:00:00,5.0,2,7,2,80,60.0,110.525,114.36,21144.625,138.3
2023-02-05 11:00:00,15.39,2,7,3,80,69.0,137.95,135.8,26823.125,147.775
2023-02-05 15:00:00,31.47,2,7,4,80,51.0,142.05,142.62,28855.125,129.6375
2023-02-05 19:00:00,18.9,2,7,5,80,68.0,170.1,161.935,35217.25,154.8625
2023-02-05 23:00:00,8.0,2,7,6,80,50.0,151.9375,146.325,32344.125,143.875
2023-02-06 03:00:00,15.61,2,1,1,80,50.0,137.3,133.85750000000002,24607.125,143.5625
2023-02-06 07:00:00,24.01,2,1,2,80,58.0,146.425,148.775,24928.5,117.45
2023-02-06 11:00:00,25.0,2,1,3,80,78.0,178.875,175.9975,35839.125,141.925
2023-02-06 15:00:00,15.68,2,1,4,80,42.0,147.9875,144.2125,33565.125,144.93125
2023-02-06 19:00:00,25.0,2,1,5,80,80.0,189.425,185.9975,38823.0,162.9875
2023-02-06 23:00:00,15.05,2,1,6,80,34.0,155.7875,150.8425,34612.125,145.7625
2023-02-07 03:00:00,16.2,2,2,1,80,68.0,134.725,130.29,25917.625,135.0
2023-02-07 07:00:00,22.45,2,2,2,80,54.0,147.39249999999998,146.715,26277.875,146.725
2023-02-07 11:00:00,15.0,2,2,3,80,60.0,194.175,201.26999999999998,37010.875,177.0875
2023-02-07 15:00:00,35.0,2,2,4,80,12.0,172.0,166.765,34102.0,139.8
2023-02-07 19:00:00,17.62,2,2,5,80,61.0,221.0,213.54,38484.125,182.2125
2023-02-07 23:00:00,10.85,2,2,6,80,58.0,168.475,168.785,35313.375,152.93125
